"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"My goal is to lose 15 pounds in the next three months.","Consensus",NA,3,2.25,NA,3,NA,NA,1.75
"My goal is to lose 15 pounds in the next three months.","External",NA,4.2,3.75,NA,4.2,NA,NA,3
"My goal is to lose 15 pounds in the next three months.","Instrumentality",NA,4,3,NA,6.5,NA,NA,3.5
"My goal is to lose 15 pounds in the next three months.","Measurability",NA,6.5,6.5,NA,6,NA,NA,4.5
"My goal is to lose 15 pounds in the next three months.","Value",NA,4.71428571428571,4.14285714285714,NA,5.57142857142857,NA,NA,3
"My goal is to lose 15 pounds. I think it'll take about 2 months","Attainability",NA,7.66666666666667,3.25,NA,NA,NA,NA,NA
"My goal is to lose 15 pounds. I think it'll take about 2 months","Consensus",NA,2,4.75,NA,NA,NA,NA,NA
"My goal is to lose 15 pounds. I think it'll take about 2 months","External",NA,5.2,4.8,NA,NA,NA,NA,NA
"My goal is to lose 15 pounds. I think it'll take about 2 months","Instrumentality",NA,4,5,NA,NA,NA,NA,NA
"My goal is to lose 15 pounds. I think it'll take about 2 months","Measurability",NA,5,7,NA,NA,NA,NA,NA
"My goal is to lose 15 pounds. I think it'll take about 2 months","Value",NA,4.57142857142857,4.57142857142857,NA,NA,NA,NA,NA
"My goal is to lose 17 pounds within the next three months.","Attainability",NA,NA,NA,3,NA,NA,2.75,NA
"My goal is to lose 17 pounds within the next three months.","Consensus",NA,NA,NA,2.25,NA,NA,2,NA
"My goal is to lose 17 pounds within the next three months.","External",NA,NA,NA,3.2,NA,NA,4.6,NA
"My goal is to lose 17 pounds within the next three months.","Instrumentality",NA,NA,NA,3.5,NA,NA,4,NA
"My goal is to lose 17 pounds within the next three months.","Measurability",NA,NA,NA,5.5,NA,NA,6.5,NA
"My goal is to lose 17 pounds within the next three months.","Value",NA,NA,NA,3.28571428571429,NA,NA,4.57142857142857,NA
"My goal is to lose 20 lbs","Attainability",NA,NA,NA,NA,4,2,NA,NA
"My goal is to lose 20 lbs","Consensus",NA,NA,NA,NA,3.5,3.25,NA,NA
"My goal is to lose 20 lbs","External",NA,NA,NA,NA,4.6,4.8,NA,NA
"My goal is to lose 20 lbs","Instrumentality",NA,NA,NA,NA,6,4.5,NA,NA
"My goal is to lose 20 lbs","Measurability",NA,NA,NA,NA,6.5,6.5,NA,NA
"My goal is to lose 20 lbs","Value",NA,NA,NA,NA,4.14285714285714,4.71428571428571,NA,NA
"My goal is to lose 20 lbs within four months, by working out 5 days a week, for at least 30 minutes a day.","Attainability",NA,NA,NA,NA,5,NA,4.25,NA
"My goal is to lose 20 lbs within four months, by working out 5 days a week, for at least 30 minutes a day.","Consensus",NA,NA,NA,NA,3.5,NA,1.5,NA
"My goal is to lose 20 lbs within four months, by working out 5 days a week, for at least 30 minutes a day.","External",NA,NA,NA,NA,4.6,NA,3.8,NA
"My goal is to lose 20 lbs within four months, by working out 5 days a week, for at least 30 minutes a day.","Instrumentality",NA,NA,NA,NA,6.5,NA,5,NA
"My goal is to lose 20 lbs within four months, by working out 5 days a week, for at least 30 minutes a day.","Measurability",NA,NA,NA,NA,7,NA,6.5,NA
"My goal is to lose 20 lbs within four months, by working out 5 days a week, for at least 30 minutes a day.","Value",NA,NA,NA,NA,5,NA,5,NA
"My goal is to lose 20 pounds in 3 months","Attainability",3,3.75,2,NA,NA,NA,NA,NA
"My goal is to lose 20 pounds in 3 months","Consensus",3.5,1.5,2.25,NA,NA,NA,NA,NA
"My goal is to lose 20 pounds in 3 months","External",1.2,5,4.4,NA,NA,NA,NA,NA
"My goal is to lose 20 pounds in 3 months","Instrumentality",4.5,4,4,NA,NA,NA,NA,NA
"My goal is to lose 20 pounds in 3 months","Measurability",5.5,6,3,NA,NA,NA,NA,NA
"My goal is to lose 20 pounds in 3 months","Value",2.71428571428571,4.57142857142857,4.28571428571429,NA,NA,NA,NA,NA
"My goal is to lose 20 pounds in six months","Attainability",NA,7.33333333333333,2,NA,3.75,NA,NA,NA
"My goal is to lose 20 pounds in six months","Consensus",NA,1.75,3,NA,3.25,NA,NA,NA
"My goal is to lose 20 pounds in six months","External",NA,4,4.2,NA,4.2,NA,NA,NA
"My goal is to lose 20 pounds in six months","Instrumentality",NA,4,3,NA,6,NA,NA,NA
"My goal is to lose 20 pounds in six months","Measurability",NA,6.5,5,NA,5.5,NA,NA,NA
"My goal is to lose 20 pounds in six months","Value",NA,4.14285714285714,4,NA,5.57142857142857,NA,NA,NA
"My goal is to lose 20 pounds in the next 90 days.","Attainability",NA,NA,NA,NA,3.25,3.5,NA,NA
"My goal is to lose 20 pounds in the next 90 days.","Consensus",NA,NA,NA,NA,2.75,2.75,NA,NA
"My goal is to lose 20 pounds in the next 90 days.","External",NA,NA,NA,NA,4.2,5,NA,NA
"My goal is to lose 20 pounds in the next 90 days.","Instrumentality",NA,NA,NA,NA,6.5,5,NA,NA
"My goal is to lose 20 pounds in the next 90 days.","Measurability",NA,NA,NA,NA,6,7,NA,NA
"My goal is to lose 20 pounds in the next 90 days.","Value",NA,NA,NA,NA,5.71428571428571,4.57142857142857,NA,NA
"My goal is to lose 20 pounds in the next two months.","Attainability",NA,7.33333333333333,NA,NA,3.75,NA,NA,NA
"My goal is to lose 20 pounds in the next two months.","Consensus",NA,2.25,NA,NA,3.25,NA,NA,NA
"My goal is to lose 20 pounds in the next two months.","External",NA,5.4,NA,NA,5,NA,NA,NA
"My goal is to lose 20 pounds in the next two months.","Instrumentality",NA,4,NA,NA,5.5,NA,NA,NA
"My goal is to lose 20 pounds in the next two months.","Measurability",NA,7,NA,NA,5.5,NA,NA,NA
"My goal is to lose 20 pounds in the next two months.","Value",NA,4.85714285714286,NA,NA,5.71428571428571,NA,NA,NA
"My goal is to lose 20 pounds.","Attainability",NA,NA,NA,NA,NA,3,NA,4.66666666666667
"My goal is to lose 20 pounds.","Consensus",NA,NA,NA,NA,NA,2.75,NA,2.75
"My goal is to lose 20 pounds.","External",NA,NA,NA,NA,NA,5,NA,4
"My goal is to lose 20 pounds.","Instrumentality",NA,NA,NA,NA,NA,5,NA,4.5
"My goal is to lose 20 pounds.","Measurability",NA,NA,NA,NA,NA,6,NA,5
"My goal is to lose 20 pounds.","Value",NA,NA,NA,NA,NA,4.14285714285714,NA,3.71428571428571
"My goal is to lose 25 lbs over the next 4 months, ongoing.","Attainability",2.25,NA,NA,NA,3.25,NA,NA,NA
"My goal is to lose 25 lbs over the next 4 months, ongoing.","Consensus",2.25,NA,NA,NA,3.5,NA,NA,NA
"My goal is to lose 25 lbs over the next 4 months, ongoing.","External",4.2,NA,NA,NA,4.6,NA,NA,NA
"My goal is to lose 25 lbs over the next 4 months, ongoing.","Instrumentality",4,NA,NA,NA,5,NA,NA,NA
"My goal is to lose 25 lbs over the next 4 months, ongoing.","Measurability",6,NA,NA,NA,6,NA,NA,NA
"My goal is to lose 25 lbs over the next 4 months, ongoing.","Value",4,NA,NA,NA,4.42857142857143,NA,NA,NA
"My goal is to lose 30 lbs in the next 6 months.","Attainability",NA,6,3.25,NA,NA,NA,2.5,NA
"My goal is to lose 30 lbs in the next 6 months.","Consensus",NA,1.75,3.75,NA,NA,NA,2,NA
"My goal is to lose 30 lbs in the next 6 months.","External",NA,5.25,4.5,NA,NA,NA,4.4,NA
"My goal is to lose 30 lbs in the next 6 months.","Instrumentality",NA,4,6,NA,NA,NA,5,NA
"My goal is to lose 30 lbs in the next 6 months.","Measurability",NA,6,7,NA,NA,NA,7,NA
"My goal is to lose 30 lbs in the next 6 months.","Value",NA,4.57142857142857,5.28571428571429,NA,NA,NA,4.85714285714286,NA
"My goal is to lose 30 pounds in the next 3 months","Attainability",NA,NA,NA,2.75,4,NA,NA,NA
"My goal is to lose 30 pounds in the next 3 months","Consensus",NA,NA,NA,2.75,2.75,NA,NA,NA
"My goal is to lose 30 pounds in the next 3 months","External",NA,NA,NA,3,5.4,NA,NA,NA
"My goal is to lose 30 pounds in the next 3 months","Instrumentality",NA,NA,NA,3.5,6.5,NA,NA,NA
"My goal is to lose 30 pounds in the next 3 months","Measurability",NA,NA,NA,4.5,5.5,NA,NA,NA
"My goal is to lose 30 pounds in the next 3 months","Value",NA,NA,NA,3.57142857142857,5.57142857142857,NA,NA,NA
"My goal is to lose 5 lbs in the next 2 months.","Attainability",NA,NA,NA,NA,NA,NA,3,5.66666666666667
"My goal is to lose 5 lbs in the next 2 months.","Consensus",NA,NA,NA,NA,NA,NA,1.75,1.5
"My goal is to lose 5 lbs in the next 2 months.","External",NA,NA,NA,NA,NA,NA,3.6,2.2
"My goal is to lose 5 lbs in the next 2 months.","Instrumentality",NA,NA,NA,NA,NA,NA,4,4.5
"My goal is to lose 5 lbs in the next 2 months.","Measurability",NA,NA,NA,NA,NA,NA,6,4.5
"My goal is to lose 5 lbs in the next 2 months.","Value",NA,NA,NA,NA,NA,NA,3.57142857142857,2.42857142857143
"My goal is to lose 5 pounds in three months.","Attainability",NA,5.25,1.75,NA,NA,4.5,NA,NA
"My goal is to lose 5 pounds in three months.","Consensus",NA,1.25,1.75,NA,NA,2.75,NA,NA
"My goal is to lose 5 pounds in three months.","External",NA,3,3.8,NA,NA,4.4,NA,NA
"My goal is to lose 5 pounds in three months.","Instrumentality",NA,3.5,3.5,NA,NA,5,NA,NA
"My goal is to lose 5 pounds in three months.","Measurability",NA,5.5,4,NA,NA,6,NA,NA
"My goal is to lose 5 pounds in three months.","Value",NA,3.14285714285714,3.85714285714286,NA,NA,4.14285714285714,NA,NA
"My goal is to lose a minimum of 15 pounds by June 30, 2021 by counting calories and exercising.","Attainability",3,NA,NA,NA,5,NA,NA,NA
"My goal is to lose a minimum of 15 pounds by June 30, 2021 by counting calories and exercising.","Consensus",3.5,NA,NA,NA,3.75,NA,NA,NA
"My goal is to lose a minimum of 15 pounds by June 30, 2021 by counting calories and exercising.","External",1.2,NA,NA,NA,4.6,NA,NA,NA
"My goal is to lose a minimum of 15 pounds by June 30, 2021 by counting calories and exercising.","Instrumentality",4,NA,NA,NA,6.5,NA,NA,NA
"My goal is to lose a minimum of 15 pounds by June 30, 2021 by counting calories and exercising.","Measurability",6.5,NA,NA,NA,7,NA,NA,NA
"My goal is to lose a minimum of 15 pounds by June 30, 2021 by counting calories and exercising.","Value",3.42857142857143,NA,NA,NA,4.71428571428571,NA,NA,NA
"My goal is to lose at least 30 lbs. in the next 6 months","Attainability",NA,6.66666666666667,3.5,2.5,NA,NA,NA,NA
"My goal is to lose at least 30 lbs. in the next 6 months","Consensus",NA,1.25,3.5,3.25,NA,NA,NA,NA
"My goal is to lose at least 30 lbs. in the next 6 months","External",NA,4.8,2.2,3,NA,NA,NA,NA
"My goal is to lose at least 30 lbs. in the next 6 months","Instrumentality",NA,4,5.5,3.5,NA,NA,NA,NA
"My goal is to lose at least 30 lbs. in the next 6 months","Measurability",NA,6,7,5,NA,NA,NA,NA
"My goal is to lose at least 30 lbs. in the next 6 months","Value",NA,4.42857142857143,5,3.42857142857143,NA,NA,NA,NA
"My goal is to lose at least 5 pounds before summer.","Attainability",4.25,NA,NA,NA,NA,NA,NA,6.33333333333333
"My goal is to lose at least 5 pounds before summer.","Consensus",4,NA,NA,NA,NA,NA,NA,2.5
"My goal is to lose at least 5 pounds before summer.","External",1.2,NA,NA,NA,NA,NA,NA,2.4
"My goal is to lose at least 5 pounds before summer.","Instrumentality",4,NA,NA,NA,NA,NA,NA,3.5
"My goal is to lose at least 5 pounds before summer.","Measurability",5,NA,NA,NA,NA,NA,NA,5
"My goal is to lose at least 5 pounds before summer.","Value",2.85714285714286,NA,NA,NA,NA,NA,NA,2.71428571428571
"My goal is to lose at least 5 pounds in the next 3 months.","Attainability",NA,NA,NA,3.5,NA,3.75,NA,NA
"My goal is to lose at least 5 pounds in the next 3 months.","Consensus",NA,NA,NA,2.75,NA,3,NA,NA
"My goal is to lose at least 5 pounds in the next 3 months.","External",NA,NA,NA,2.8,NA,4.8,NA,NA
"My goal is to lose at least 5 pounds in the next 3 months.","Instrumentality",NA,NA,NA,3.5,NA,4.5,NA,NA
"My goal is to lose at least 5 pounds in the next 3 months.","Measurability",NA,NA,NA,5,NA,6.5,NA,NA
"My goal is to lose at least 5 pounds in the next 3 months.","Value",NA,NA,NA,3.28571428571429,NA,3.71428571428571,NA,NA
"My goal is to lose at least eight pounds each month until I am at my goal weight.","Attainability",NA,NA,NA,NA,NA,NA,3,7
"My goal is to lose at least eight pounds each month until I am at my goal weight.","Consensus",NA,NA,NA,NA,NA,NA,1,1.5
"My goal is to lose at least eight pounds each month until I am at my goal weight.","External",NA,NA,NA,NA,NA,NA,3.6,3.4
"My goal is to lose at least eight pounds each month until I am at my goal weight.","Instrumentality",NA,NA,NA,NA,NA,NA,3.5,3.5
"My goal is to lose at least eight pounds each month until I am at my goal weight.","Measurability",NA,NA,NA,NA,NA,NA,6.5,6
"My goal is to lose at least eight pounds each month until I am at my goal weight.","Value",NA,NA,NA,NA,NA,NA,5,4.28571428571429
"My goal is to lose twenty pounds by the start of summer in June.","Attainability",NA,NA,3.5,NA,4,NA,NA,NA
"My goal is to lose twenty pounds by the start of summer in June.","Consensus",NA,NA,3.5,NA,3.5,NA,NA,NA
"My goal is to lose twenty pounds by the start of summer in June.","External",NA,NA,4.8,NA,4.2,NA,NA,NA
"My goal is to lose twenty pounds by the start of summer in June.","Instrumentality",NA,NA,4,NA,6,NA,NA,NA
"My goal is to lose twenty pounds by the start of summer in June.","Measurability",NA,NA,6,NA,6,NA,NA,NA
"My goal is to lose twenty pounds by the start of summer in June.","Value",NA,NA,4.42857142857143,NA,4.42857142857143,NA,NA,NA
"My goal is to lose weight and build strength over the next year.","Attainability",NA,NA,NA,NA,4.25,2.75,NA,NA
"My goal is to lose weight and build strength over the next year.","Consensus",NA,NA,NA,NA,4,2.75,NA,NA
"My goal is to lose weight and build strength over the next year.","External",NA,NA,NA,NA,4.2,5,NA,NA
"My goal is to lose weight and build strength over the next year.","Instrumentality",NA,NA,NA,NA,6,4.5,NA,NA
"My goal is to lose weight and build strength over the next year.","Measurability",NA,NA,NA,NA,2.5,4.5,NA,NA
"My goal is to lose weight and build strength over the next year.","Value",NA,NA,NA,NA,5,5.28571428571429,NA,NA
"My goal is to lose weight over the next three months.","Attainability",NA,NA,NA,NA,4,NA,NA,6
"My goal is to lose weight over the next three months.","Consensus",NA,NA,NA,NA,3.75,NA,NA,2.5
"My goal is to lose weight over the next three months.","External",NA,NA,NA,NA,4.4,NA,NA,3.4
"My goal is to lose weight over the next three months.","Instrumentality",NA,NA,NA,NA,5.5,NA,NA,3.5
"My goal is to lose weight over the next three months.","Measurability",NA,NA,NA,NA,3.5,NA,NA,4
"My goal is to lose weight over the next three months.","Value",NA,NA,NA,NA,4.71428571428571,NA,NA,3.57142857142857
"My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this.","Attainability",NA,NA,NA,NA,NA,3.5,4.75,NA
"My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this.","Consensus",NA,NA,NA,NA,NA,2.75,2,NA
"My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this.","External",NA,NA,NA,NA,NA,5.2,2.4,NA
"My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this.","Instrumentality",NA,NA,NA,NA,NA,5.5,5,NA
"My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this.","Measurability",NA,NA,NA,NA,NA,7,5.5,NA
"My goal is to lose weight over the next three months. I feel that by adding an extra fifteen minutes of exercise everyday I will hopefully accomplish this.","Value",NA,NA,NA,NA,NA,4.28571428571429,4.57142857142857,NA
"My goal is to lose weight.","Attainability",NA,2.66666666666667,NA,NA,NA,NA,3.75,NA
"My goal is to lose weight.","Consensus",NA,3,NA,NA,NA,NA,2.5,NA
"My goal is to lose weight.","External",NA,4.75,NA,NA,NA,NA,5,NA
"My goal is to lose weight.","Instrumentality",NA,6,NA,NA,NA,NA,4.5,NA
"My goal is to lose weight.","Measurability",NA,3.5,NA,NA,NA,NA,4,NA
"My goal is to lose weight.","Value",NA,4.28571428571429,NA,NA,NA,NA,5,NA
"My goal is to loss as much fat as possible for the next month.","Attainability",0.5,NA,NA,NA,NA,NA,NA,NA
"My goal is to loss as much fat as possible for the next month.","Consensus",3.75,NA,NA,NA,NA,NA,NA,NA
"My goal is to loss as much fat as possible for the next month.","External",1,NA,NA,NA,NA,NA,NA,NA
"My goal is to loss as much fat as possible for the next month.","Instrumentality",4,NA,NA,NA,NA,NA,NA,NA
"My goal is to loss as much fat as possible for the next month.","Measurability",2.5,NA,NA,NA,NA,NA,NA,NA
"My goal is to loss as much fat as possible for the next month.","Value",2.71428571428571,NA,NA,NA,NA,NA,NA,NA
"My goal is to lower my A1C test results (diabetes) in by June.","Attainability",NA,NA,NA,NA,NA,2.75,5,NA
"My goal is to lower my A1C test results (diabetes) in by June.","Consensus",NA,NA,NA,NA,NA,3.5,1.25,NA
"My goal is to lower my A1C test results (diabetes) in by June.","External",NA,NA,NA,NA,NA,5.8,4.8,NA
"My goal is to lower my A1C test results (diabetes) in by June.","Instrumentality",NA,NA,NA,NA,NA,5,4,NA
"My goal is to lower my A1C test results (diabetes) in by June.","Measurability",NA,NA,NA,NA,NA,7,4.5,NA
